sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1A,65,1,1,1A6511,1AB065C1-MACD_1,52,0.2,32APSK,0.8,4.1,205.977,442.9,425.9
1B,65,1,1,1B6511,1BB065C1-MACD_1,52,0.2,32APSK,0.8,3.7,176.15715,385.2,370.3
1B,65,1,2,1B6512,1BB065C1-MACD_2,52,0.2,32APSK,0.8,3.7,185.16475,385.2,370.3
1A,66,1,8,1A6618,1AB066C1-MACD_8,51,0.1,16APSK,0.9,3.5,161.8359462,1279.6,1216.9
1A,66,1,2,1A6612,1AB066C1-MACD_2,51,0.1,16APSK,0.8,3.3,155.2372817,1279.6,1216.9
1A,66,1,6,1A6616,1AB066C1-MACD_6,51,0.1,16APSK,0.8,3.3,155.2372817,1279.6,1216.9
1A,66,1,5,1A6615,1AB066C1-MACD_5,51,0.1,16APSK,0.8,3.2,145.4837769,1279.6,1216.9
1A,66,1,7,1A6617,1AB066C1-MACD_7,51,0.1,16APSK,0.8,3.2,155.2372817,1279.6,1216.9
1A,66,1,1,1A6611,1AB066C1-MACD_1,52,0.1,16APSK,0.8,3,148.3364,1279.6,1216.9
1A,66,1,3,1A6613,1AB066C1-MACD_3,51,0.1,16APSK,0.8,3,145.4837769,1279.6,1216.9
1A,66,1,4,1A6614,1AB066C1-MACD_4,51,0.1,8PSK 8,0.9,2.6,129.7563577,1279.6,1216.9
1B,66,1,1,1B6611,1BB066C1-MACD_1,52,0.2,32APSK,0.8,4,197.57855,1580.8,1409.2
1B,66,1,2,1B6612,1BB066C1-MACD_2,52,0.2,32APSK,0.8,4,182.3802,1580.8,1409.2
1B,66,1,3,1B6613,1BB066C1-MACD_3,52,0.2,32APSK,0.8,3.7,170.9213077,1580.8,1409.2
1B,66,1,4,1B6614,1BB066C1-MACD_4,52,0.2,32APSK,0.8,3.7,170.9213077,1580.8,1409.2
